ISIN,MATURITYDATE,ISSUEDATE,COUPONRATE,PRICE,ACCRUED,TODAY
AT0000384821,2009-07-15,1999-02-22,0.04,100.4941,2.2295,2008-01-30
AT0000384938,2010-01-15,1999-10-22,0.055,103.5572,0.3005,2008-01-30
AT0000385067,2011-01-04,2001-01-04,0.0525,104.4135,0.4447,2008-01-30
AT0000385356,2012-07-15,2002-01-09,0.05,105.0056,2.7869,2008-01-30
AT0000385992,2013-10-20,2003-05-20,0.038,99.8335,1.1109,2008-01-30
AT0000384748,2014-01-15,1999-01-15,0.04125,101.25,0.2254,2008-01-30
AT0000386073,2014-07-15,2004-01-15,0.043,102.3832,2.3967,2008-01-30
AT0000386198,2015-07-15,2005-04-26,0.035,97.0053,1.9508,2008-01-30
AT0000A011T9,2016-09-15,2006-04-21,0.04,99.5164,1.5519,2008-01-30
AT0000A06P24,2017-09-15,2007-09-17,0.043,101.2435,1.6683,2008-01-30
AT0000385745,2018-01-15,2003-01-15,0.0465,104.0539,0.2541,2008-01-30
AT0000A08968,2019-03-15,2008-01-08,0.0435,101.15,3.8746,2008-01-30
AT0000386115,2020-07-15,2005-01-14,0.039,96.1395,2.1738,2008-01-30
AT0000A001X2,2021-09-15,2006-01-11,0.035,91.1123,1.3579,2008-01-30
AT0000383864,2027-07-15,1997-07-10,0.0625,122.0027,3.4836,2008-01-30
AT0000A04967,2037-03-15,2007-01-12,0.0415,92.4369,3.6964,2008-01-30
