ISIN,MATURITYDATE,ISSUEDATE,COUPONRATE,PRICE,ACCRUED,TODAY
FR0108197569,2008-03-12,2005-11-08,0.0275,99.87,2.4419,2008-01-30
FR0000570632,2008-04-25,1998-01-08,0.0525,100.21,4.0881,2008-01-30
FR0105760112,2008-07-12,2003-06-23,0.03,99.57,1.6639,2008-01-30
FR0109136137,2008-09-12,2006-07-19,0.035,99.78,1.3484,2008-01-30
FR0000570665,2008-10-25,1991-10-25,0.085,103.17,2.3689,2008-01-30
FR0106589437,2009-01-12,2004-01-12,0.035,99.7597,0.1817,2008-01-30
FR0000571432,2009-04-25,1998-10-08,0.04,100.3658,3.1148,2008-01-30
FR0106841887,2009-07-12,2004-06-17,0.035,99.7696,1.9413,2008-01-30
FR0110979178,2009-09-12,2007-04-10,0.04,100.5763,1.541,2008-01-30
FR0000186199,2009-10-25,1999-05-12,0.04,100.6806,1.1148,2008-01-30
FR0107369672,2010-01-12,2004-01-12,0.03,98.9412,0.1557,2008-01-30
FR0000186603,2010-04-25,2000-02-03,0.055,104.0486,4.2828,2008-01-30
FR0107674006,2010-07-12,2005-06-13,0.025,97.5096,1.3866,2008-01-30
FR0000187023,2010-10-25,2000-09-12,0.055,104.8436,1.5328,2008-01-30
FR0108354806,2011-01-12,2006-01-12,0.03,98.3162,0.1557,2008-01-30
FR0000570731,2011-04-25,1996-01-22,0.065,108.5274,5.0615,2008-01-30
FR0108847049,2011-07-12,2005-07-12,0.035,99.5293,1.9413,2008-01-30
FR0000187874,2011-10-25,2001-09-11,0.05,104.5316,1.3934,2008-01-30
FR0109970386,2012-01-12,2007-01-12,0.0375,100.2015,0.1947,2008-01-30
FR0000188328,2012-04-25,2002-02-14,0.05,104.9492,3.8934,2008-01-30
FR0110979186,2012-07-12,2007-06-08,0.045,103.1075,2.4959,2008-01-30
FR0000188690,2012-10-25,2002-09-05,0.0475,104.2492,1.3238,2008-01-30
FR0000570780,2012-12-26,1987-01-26,0.085,120.8622,0.929,2008-01-30
FR0000188989,2013-04-25,2003-03-11,0.04,101.0052,3.1148,2008-01-30
FR0010011130,2013-10-25,2003-08-13,0.04,100.9579,1.1148,2008-01-30
FR0010061242,2014-04-25,2003-04-25,0.04,100.8505,3.1148,2008-01-30
FR0010112052,2014-10-25,2004-02-09,0.04,100.6596,1.1148,2008-01-30
FR0010163543,2015-04-25,2005-02-03,0.035,97.3235,2.7254,2008-01-30
FR0010216481,2015-10-25,2005-07-12,0.03,93.659,0.8361,2008-01-30
FR0010288357,2016-04-25,2006-02-06,0.0325,94.6191,2.5307,2008-01-30
FR0000187361,2016-10-25,2000-10-25,0.05,106.8155,1.3934,2008-01-30
FR0010415331,2017-04-25,2007-01-03,0.0375,97.3288,2.9201,2008-01-30
FR0010517417,2017-10-25,2006-09-05,0.0425,100.8586,1.1844,2008-01-30
FR0000189151,2019-04-25,2003-05-22,0.0425,100.3661,3.3094,2008-01-30
FR0000570921,2019-10-25,1989-01-25,0.085,139.023,2.3689,2008-01-30
FR0010192997,2021-04-25,2005-05-03,0.0375,94.2033,2.9201,2008-01-30
FR0000571044,2022-04-25,1992-01-22,0.0825,142.02,6.4242,2008-01-30
FR0000571085,2023-04-25,1992-01-27,0.085,144.7192,6.6189,2008-01-30
FR0010466938,2023-10-25,2007-05-03,0.0425,97.8742,1.1844,2008-01-30
FR0000571150,2025-10-25,1994-02-03,0.06,118.3963,1.6721,2008-01-30
FR0000571218,2029-04-25,1997-04-25,0.055,112.3013,4.2828,2008-01-30
FR0000187635,2032-10-25,2001-05-30,0.0575,116.6723,1.6025,2008-01-30
FR0010070060,2035-04-25,2003-04-25,0.0475,102.1022,3.6988,2008-01-30
FR0010371401,2038-10-25,2006-09-07,0.04,90.0795,1.1148,2008-01-30
FR0010171975,2055-04-25,2005-02-28,0.04,88.9693,3.1148,2008-01-30
