ISIN,MATURITYDATE,ISSUEDATE,COUPONRATE,PRICE,ACCRUED,TODAY
DE0001141463,2010-04-09,2005-02-24,0.0325,101.83,1.0418,2009-07-31
DE0001135150,2010-07-04,2000-05-05,0.0525,104.135,0.4459,2009-07-31
DE0001141471,2010-10-08,2005-08-26,0.025,102.005,2.0548,2009-07-31
DE0001135168,2011-01-04,2000-09-29,0.0525,106.05,3.0493,2009-07-31
DE0001135184,2011-07-04,2001-05-23,0.05,106.92,0.4247,2009-07-31
DE0001135192,2012-01-04,2001-12-28,0.05,108.03,2.9041,2009-07-31
DE0001135200,2012-07-04,2002-06-26,0.05,108.915,0.4247,2009-07-31
DE0001135218,2013-01-04,2002-12-31,0.045,108.025,2.6137,2009-07-31
DE0001135234,2013-07-04,2003-06-24,0.0375,105.68,0.3185,2009-07-31
DE0001135242,2014-01-04,2003-10-21,0.0425,107.885,2.4685,2009-07-31
DE0001135259,2014-07-04,2004-04-25,0.0425,108.14,0.361,2009-07-31
DE0001135267,2015-01-04,2004-10-27,0.0375,105.845,2.1781,2009-07-31
DE0001135283,2015-07-04,2005-04-28,0.0325,103,0.276,2009-07-31
DE0001135291,2016-01-04,2005-10-30,0.035,103.99,2.0329,2009-07-31
DE0001134922,2024-01-04,1993-12-29,0.0625,126.94,3.6301,2009-07-31
DE0001141463,2010-04-09,2005-02-24,0.0325,101.81,1.0507,2009-08-03
DE0001135150,2010-07-04,2000-05-05,0.0525,104.085,0.4603,2009-08-03
DE0001141471,2010-10-08,2005-08-26,0.025,101.93,2.0616,2009-08-03
DE0001135168,2011-01-04,2000-09-29,0.0525,105.93,3.0637,2009-08-03
DE0001135184,2011-07-04,2001-05-23,0.05,106.765,0.4384,2009-08-03
DE0001135192,2012-01-04,2001-12-28,0.05,107.84,2.9178,2009-08-03
DE0001135200,2012-07-04,2002-06-26,0.05,108.69,0.4384,2009-08-03
DE0001135218,2013-01-04,2002-12-31,0.045,107.77,2.626,2009-08-03
DE0001135234,2013-07-04,2003-06-24,0.0375,105.42,0.3288,2009-08-03
DE0001135242,2014-01-04,2003-10-21,0.0425,107.59,2.4801,2009-08-03
DE0001135259,2014-07-04,2004-04-25,0.0425,107.88,0.3726,2009-08-03
DE0001135267,2015-01-04,2004-10-27,0.0375,105.53,2.1884,2009-08-03
DE0001135283,2015-07-04,2005-04-28,0.0325,102.7,0.2849,2009-08-03
DE0001135291,2016-01-04,2005-10-30,0.035,103.7,2.0425,2009-08-03
DE0001134922,2024-01-04,1993-12-29,0.0625,126.5,3.6473,2009-08-03
DE0001141463,2010-04-09,2005-02-24,0.0325,101.775,1.0596,2009-08-04
DE0001135150,2010-07-04,2000-05-05,0.0525,104.04,0.4747,2009-08-04
DE0001141471,2010-10-08,2005-08-26,0.025,101.87,2.0685,2009-08-04
DE0001135168,2011-01-04,2000-09-29,0.0525,105.845,3.0781,2009-08-04
DE0001135184,2011-07-04,2001-05-23,0.05,106.64,0.4521,2009-08-04
DE0001135192,2012-01-04,2001-12-28,0.05,107.705,2.9315,2009-08-04
DE0001135200,2012-07-04,2002-06-26,0.05,108.535,0.4521,2009-08-04
DE0001135218,2013-01-04,2002-12-31,0.045,107.61,2.6384,2009-08-04
DE0001135234,2013-07-04,2003-06-24,0.0375,105.25,0.339,2009-08-04
DE0001135242,2014-01-04,2003-10-21,0.0425,107.4,2.4918,2009-08-04
DE0001135259,2014-07-04,2004-04-25,0.0425,107.71,0.3842,2009-08-04
DE0001135267,2015-01-04,2004-10-27,0.0375,105.36,2.1986,2009-08-04
DE0001135283,2015-07-04,2005-04-28,0.0325,102.54,0.2938,2009-08-04
DE0001135291,2016-01-04,2005-10-30,0.035,103.54,2.0521,2009-08-04
DE0001134922,2024-01-04,1993-12-29,0.0625,126.495,3.6644,2009-08-04
DE0001141463,2010-04-09,2005-02-24,0.0325,101.735,1.0685,2009-08-05
DE0001135150,2010-07-04,2000-05-05,0.0525,103.97,0.489,2009-08-05
DE0001141471,2010-10-08,2005-08-26,0.025,101.815,2.0753,2009-08-05
DE0001135168,2011-01-04,2000-09-29,0.0525,105.755,3.0925,2009-08-05
DE0001135184,2011-07-04,2001-05-23,0.05,106.545,0.4658,2009-08-05
DE0001135192,2012-01-04,2001-12-28,0.05,107.585,2.9452,2009-08-05
DE0001135200,2012-07-04,2002-06-26,0.05,108.415,0.4658,2009-08-05
DE0001135218,2013-01-04,2002-12-31,0.045,107.485,2.6507,2009-08-05
DE0001135234,2013-07-04,2003-06-24,0.0375,105.135,0.3493,2009-08-05
DE0001135242,2014-01-04,2003-10-21,0.0425,107.245,2.5034,2009-08-05
DE0001135259,2014-07-04,2004-04-25,0.0425,107.54,0.3959,2009-08-05
DE0001135267,2015-01-04,2004-10-27,0.0375,105.205,2.2089,2009-08-05
